Name,M1,M2,M3,Support,Temperature,Ar_flow,CH4_flow,O2_flow,C2y
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,10.5,3.6,0.9,17.1906488
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,6,7.2,1.8,17.1238459
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,14,4,2,16.88324276
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,3,13.6,3.4,16.76111923
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,4,4.8,1.2,16.45464785
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,1.5,6.8,1.7,16.44791954
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,7,2.4,0.6,16.42001587
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,3,14.57142857,2.428571429,16.09469664
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,4,4,2,15.98521758
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,2.25,10.2,2.55,15.96934689
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,10.5,3,1.5,15.83084288
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,8,10.28571429,1.714285714,15.68088849
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,8,9.6,2.4,15.58508829
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,2.25,10.92857143,1.821428571,15.53193478
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,14,5.142857143,0.857142857,15.46778226
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,10.5,3,1.5,15.36268714
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,10.5,3.857142857,0.642857143,15.26982777
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,7,2,1,15.24029652
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,6,7.714285714,1.285714286,15.22228171
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,6,7.2,1.8,15.08684101
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,14,4.8,1.2,15.0834261
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,7,2.571428571,0.428571429,14.81938788
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,1.5,6.8,1.7,14.6221367
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,1.5,7.285714286,1.214285714,14.49642709
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,750,4,5.142857143,0.857142857,14.43769337
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,4,4.8,1.2,14.24043361
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,10.5,3.6,0.9,14.22150109
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,3,14.57142857,2.428571429,14.10870692
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,14,4,2,13.85522095
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,8,9.6,2.4,13.774524
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,7,2,1,13.76403462
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,8,10.28571429,1.714285714,13.58581648
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,2.25,10.92857143,1.821428571,13.48744806
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,14,5.142857143,0.857142857,13.24401311
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,6,7.714285714,1.285714286,13.19300345
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,1.5,7.285714286,1.214285714,12.92120139
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,700,4,5.142857143,0.857142857,12.71270301
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,8,10.28571429,1.714285714,12.69777041
