support,promoters,formula,predicted_max_yield,ensemble_std,nn_distance,min_element_support,tier
Ba,W+Fe+Tb,Ba(90.0) W(3.33) Fe(3.33) Tb(3.33),17.299,0.216,3.033,75,IN_SUPPORT
Ba,Li+Eu,Ba(93.3) Li(3.33) Eu(3.33),17.298,0.087,2.499,74,IN_SUPPORT
Ba,W+Ce+Ti,Ba(90.0) W(3.33) Ce(3.33) Ti(3.33),17.294,0.078,0.257,135,IN_SUPPORT
Ba,W+Zn+Y,Ba(90.0) W(3.33) Zn(3.33) Y(3.33),17.292,0.11,3.425,84,IN_SUPPORT
Ba,W+Zn+La,Ba(90.0) W(3.33) Zn(3.33) La(3.33),17.286,0.182,2.553,111,IN_SUPPORT
Ba,W+Fe+Sr,Ba(90.0) W(3.33) Fe(3.33) Sr(3.33),17.285,0.247,3.716,67,IN_SUPPORT
Ba,Zn+Y+Eu,Ba(90.0) Zn(3.33) Y(3.33) Eu(3.33),17.276,0.14,3.562,74,IN_SUPPORT
Ba,Mo+Zr,Ba(93.3) Mo(3.33) Zr(3.33),17.276,0.178,0.222,121,IN_SUPPORT
Ba,Mo+Li+Ti,Ba(90.0) Mo(3.33) Li(3.33) Ti(3.33),17.27,0.128,0.137,113,IN_SUPPORT
Ba,Li+La+Eu,Ba(90.0) Li(3.33) La(3.33) Eu(3.33),17.267,0.18,2.5,74,IN_SUPPORT
Ba,Mo+Li+Na,Ba(90.0) Mo(3.33) Li(3.33) Na(3.33),17.267,0.153,2.912,80,IN_SUPPORT
Ba,Fe+Mg+Eu,Ba(90.0) Fe(3.33) Mg(3.33) Eu(3.33),17.265,0.186,2.436,74,IN_SUPPORT
Ba,Mo+Mg,Ba(93.3) Mo(3.33) Mg(3.33),17.265,0.133,0.237,121,IN_SUPPORT
Ba,W+Cs+Y,Ba(90.0) W(3.33) Cs(3.33) Y(3.33),17.264,0.118,2.287,84,IN_SUPPORT
Ba,W+Ti+Ca,Ba(90.0) W(3.33) Ti(3.33) Ca(3.33),17.262,0.114,0.155,135,IN_SUPPORT
Ba,W+Nd+Eu,Ba(90.0) W(3.33) Nd(3.33) Eu(3.33),17.259,0.086,3.116,74,IN_SUPPORT
Ba,W+Y+Zr,Ba(90.0) W(3.33) Y(3.33) Zr(3.33),17.256,0.134,2.289,84,IN_SUPPORT
Ba,Mo+Y+Ti,Ba(90.0) Mo(3.33) Y(3.33) Ti(3.33),17.244,0.134,2.44,84,IN_SUPPORT
Ba,W+Mo+Tb,Ba(90.0) W(3.33) Mo(3.33) Tb(3.33),17.243,0.12,2.288,75,IN_SUPPORT
Ba,Cs+Fe+Y,Ba(90.0) Cs(3.33) Fe(3.33) Y(3.33),17.24,0.11,3.033,84,IN_SUPPORT
Ba,Mo+K+Sr,Ba(90.0) Mo(3.33) K(3.33) Sr(3.33),17.237,0.077,2.968,67,IN_SUPPORT
Ba,Mo+Na+Zr,Ba(90.0) Mo(3.33) Na(3.33) Zr(3.33),17.235,0.172,2.09,80,IN_SUPPORT
Ba,W+Mg+Ti,Ba(90.0) W(3.33) Mg(3.33) Ti(3.33),17.234,0.143,0.24,135,IN_SUPPORT
Ba,Mo+Ce+Eu,Ba(90.0) Mo(3.33) Ce(3.33) Eu(3.33),17.233,0.118,0.202,74,IN_SUPPORT
Ba,Mo+Li+K,Ba(90.0) Mo(3.33) Li(3.33) K(3.33),17.229,0.083,2.493,95,IN_SUPPORT
Ba,Mo+Fe+V,Ba(90.0) Mo(3.33) Fe(3.33) V(3.33),17.228,0.125,2.439,73,IN_SUPPORT
Ba,Fe+La+Tb,Ba(90.0) Fe(3.33) La(3.33) Tb(3.33),17.223,0.147,3.222,75,IN_SUPPORT
Ba,W+Cs+K,Ba(90.0) W(3.33) Cs(3.33) K(3.33),17.221,0.113,2.09,95,IN_SUPPORT
Ba,W+Fe+Na,Ba(90.0) W(3.33) Fe(3.33) Na(3.33),17.217,0.171,2.292,80,IN_SUPPORT
Ba,La+Eu+Zr,Ba(90.0) La(3.33) Eu(3.33) Zr(3.33),17.214,0.153,0.177,74,IN_SUPPORT
Ba,Mo+K+Zr,Ba(90.0) Mo(3.33) K(3.33) Zr(3.33),17.203,0.072,0.157,95,IN_SUPPORT
Ba,W+Zn+Na,Ba(90.0) W(3.33) Zn(3.33) Na(3.33),17.203,0.129,2.29,80,IN_SUPPORT
Ba,Cs+Eu+Sr,Ba(90.0) Cs(3.33) Eu(3.33) Sr(3.33),17.202,0.152,3.416,67,IN_SUPPORT
Ba,Zn+Fe+Na,Ba(90.0) Zn(3.33) Fe(3.33) Na(3.33),17.201,0.134,2.551,80,IN_SUPPORT
Ba,Mo+Li+Tb,Ba(90.0) Mo(3.33) Li(3.33) Tb(3.33),17.2,0.093,2.493,75,IN_SUPPORT
Ba,Cs+Zn+Eu,Ba(90.0) Cs(3.33) Zn(3.33) Eu(3.33),17.193,0.113,2.55,74,IN_SUPPORT
Ba,Zn+Fe+Mg,Ba(90.0) Zn(3.33) Fe(3.33) Mg(3.33),17.19,0.112,0.181,96,IN_SUPPORT
Ba,W+Eu,Ba(93.3) W(3.33) Eu(3.33),17.189,0.078,0.132,74,IN_SUPPORT
Ba,Mo+Nd+Na,Ba(90.0) Mo(3.33) Nd(3.33) Na(3.33),17.184,0.161,3.747,80,IN_SUPPORT
Ba,W+Fe+K,Ba(90.0) W(3.33) Fe(3.33) K(3.33),17.181,0.182,3.033,95,IN_SUPPORT
Ba,Mo+K+Ti,Ba(90.0) Mo(3.33) K(3.33) Ti(3.33),17.18,0.082,0.153,95,IN_SUPPORT
